"Club","City","Airport"
"Buffalo Bills","Orchard Park, NY","KBUF"
"Miami Dolphins","Miami Gardens, FL","KOPF"
"New England Patriots","Foxborough, MA","KOWD"
"New York Jets","East Rutherford, NJ","KTEB"
"Baltimore Ravens","Baltimore, MD","KDMH"
"Cincinnati Bengals","Cincinnati, OH","KLUK"
"Cleveland Browns","Cleveland, OH","KBKL"
"Pittsburgh Steelers","Pittsburgh, PA","KPIT"
"Houston Texans","Houston, TX","KMCJ"
"Indianapolis Colts","Indianapolis, IN","KEYE"
"Jacksonville Jaguars","Jacksonville, FL","KNIP"
"Tennessee Titans","Nashville, TN","KBNA"
"Denver Broncos","Denver, CO","KBKF"
"Kansas City Chiefs","Kansas City, MO","KNKA"
"Los Angeles Chargers","Carson, CA","KTOA"
"Oakland Raiders","Oakland, CA","KOAK"
"Dallas Cowboys","Arlington, TX","KGKY"
"New York Giants","East Rutherford, NJ","KTEB"
"Philadelphia Eagles","Philadelphia, PA","KPHL"
"Washington Redskins","Landover, MD","KCGS"
"Chicago Bears","Chicago, IL","KORD"
"Detroit Lions","Detroit, MI","KDET"
"Green Bay Packers","Green Bay, WI","KGRB"
"Minnesota Vikings","Minneapolis, MN","KMIC"
"Atlanta Falcons","Atlanta, GA","KFTY"
"Carolina Panthers","Charlotte, NC","KCLT"
"New Orleans Saints","New Orleans, LA","KAUD"
"Tampa Bay Buccaneers","Tampa, FL","KTPF"
"Arizona Cardinals","Glendale, AZ","KGEU"
"Los Angeles Rams","Los Angeles, CA","KCQT"
"San Francisco 49ers","Santa Clara, CA","KSJC"
"Seattle Seahawks","Seattle, WA","KBFI"
